"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","52.114.74.44","192.168.43.62","TLSv1.2","481","Application Data"
"2","0.000049","192.168.43.62","52.114.74.44","TCP","54","60962  >  443 [ACK] Seq=1 Ack=428 Win=1018 Len=0"
"3","0.000054","192.168.43.62","52.114.74.44","TCP","54","[TCP Dup ACK 2#1] 60962  >  443 [ACK] Seq=1 Ack=428 Win=1018 Len=0"
"4","0.000995","192.168.43.62","52.114.74.44","TLSv1.2","588","Application Data"
"5","0.001007","192.168.43.62","52.114.74.44","TCP","588","[TCP Retransmission] 60962  >  443 [PSH, ACK] Seq=1 Ack=428 Win=1018 Len=534"
"6","0.001076","192.168.43.62","52.114.74.44","TCP","1414","60962  >  443 [ACK] Seq=535 Ack=428 Win=1018 Len=1360 [TCP segment of a reassembled PDU]"
"7","0.001076","192.168.43.62","52.114.74.44","TLSv1.2","142","Application Data"
"8","0.001082","192.168.43.62","52.114.74.44","TCP","1414","[TCP Out-Of-Order] 60962  >  443 [ACK] Seq=535 Ack=428 Win=1018 Len=1360"
"9","0.001092","192.168.43.62","52.114.74.44","TCP","142","[TCP Retransmission] 60962  >  443 [PSH, ACK] Seq=1895 Ack=428 Win=1018 Len=88"
"10","0.009109","192.168.43.62","52.114.74.44","TCP","66","60963  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"11","0.009114","192.168.43.62","52.114.74.44","TCP","66","[TCP Out-Of-Order] 60963  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","0.231027","52.114.74.44","192.168.43.62","TCP","54","443  >  60962 [ACK] Seq=428 Ack=535 Win=1023 Len=0"
"13","0.231125","52.114.74.44","192.168.43.62","TCP","54","443  >  60962 [ACK] Seq=428 Ack=1983 Win=1025 Len=0"
"14","0.318318","52.114.74.44","192.168.43.62","TLSv1.2","481","Application Data"
"15","0.318367","192.168.43.62","52.114.74.44","TCP","54","60962  >  443 [ACK] Seq=1983 Ack=855 Win=1024 Len=0"
"16","0.318373","192.168.43.62","52.114.74.44","TCP","54","[TCP Dup ACK 15#1] 60962  >  443 [ACK] Seq=1983 Ack=855 Win=1024 Len=0"
"17","1.009720","192.168.43.62","52.114.74.44","TCP","66","[TCP Retransmission] 60963  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"18","1.009728","192.168.43.62","52.114.74.44","TCP","66","[TCP Retransmission] 60963  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"19","3.010352","192.168.43.62","52.114.74.44","TCP","66","[TCP Retransmission] 60963  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"20","3.010362","192.168.43.62","52.114.74.44","TCP","66","[TCP Retransmission] 60963  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","3.276971","52.114.74.44","192.168.43.62","TCP","66","443  >  60963 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1360 WS=256 SACK_PERM=1"
"22","3.277048","192.168.43.62","52.114.74.44","TCP","54","60963  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"23","3.277053","192.168.43.62","52.114.74.44","TCP","54","[TCP Dup ACK 22#1] 60963  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"24","3.277319","192.168.43.62","52.114.74.44","TLSv1.2","277","Client Hello"
"25","3.277326","192.168.43.62","52.114.74.44","TCP","277","[TCP Retransmission] 60963  >  443 [PSH, ACK] Seq=1 Ack=1 Win=262144 Len=223"
"26","3.511801","52.114.74.44","192.168.43.62","TLSv1.2","195","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"27","3.511856","192.168.43.62","52.114.74.44","TCP","54","60963  >  443 [ACK] Seq=224 Ack=142 Win=261888 Len=0"
"28","3.511862","192.168.43.62","52.114.74.44","TCP","54","[TCP Dup ACK 27#1] 60963  >  443 [ACK] Seq=224 Ack=142 Win=261888 Len=0"
"29","3.512343","192.168.43.62","52.114.74.44","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"30","3.512350","192.168.43.62","52.114.74.44","TCP","105","[TCP Retransmission] 60963  >  443 [PSH, ACK] Seq=224 Ack=142 Win=261888 Len=51"
"31","3.512617","192.168.43.62","52.114.74.44","TLSv1.2","589","Application Data"
"32","3.512622","192.168.43.62","52.114.74.44","TCP","589","[TCP Retransmission] 60963  >  443 [PSH, ACK] Seq=275 Ack=142 Win=261888 Len=535"
"33","3.743702","52.114.74.44","192.168.43.62","TLSv1.2","108","Application Data"
"34","3.743756","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=810 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"35","3.743764","192.168.43.62","52.114.74.44","TCP","1414","[TCP Retransmission] 60963  >  443 [ACK] Seq=810 Ack=196 Win=261888 Len=1360"
"36","4.085779","52.114.74.44","192.168.43.62","TCP","54","443  >  60963 [ACK] Seq=196 Ack=2170 Win=262400 Len=0"
"37","4.085826","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=2170 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
"38","4.085826","192.168.43.62","52.114.74.44","TCP","1414","60963  >  443 [ACK] Seq=3530 Ack=196 Win=261888 Len=1360 [TCP segment of a reassembled PDU]"
